galaxy,v_flat,rs_tanh,upsilon_d,gc_over_a0,gc_err,chi2_dof,N_pts,gc_circular
NGC2976,5.0,1.574,0.928,0.1000,NA,0.0309,27,0.0043
UGC02455,5.0,3.413,0.300,0.1000,NA,0.1153,8,0.0020
UGC04305,5.0,0.587,0.741,0.1000,NA,0.0899,22,0.0115
CamB,10.1,1.039,0.300,0.1000,NA,0.2348,9,0.0265
PGC51017,10.9,0.016,0.300,0.1000,NA,0.1202,6,2.0436
F563-V1,11.3,1.333,0.715,0.1000,NA,0.1023,6,0.0259
UGC07577,11.6,1.044,0.300,0.1000,NA,0.0684,9,0.0348
KK98-251,17.0,1.479,2.500,0.1000,NA,0.0568,15,0.0528
UGC05750,18.4,3.565,2.500,0.1000,NA,0.1676,11,0.0256
F574-2,19.7,2.934,0.300,0.1000,NA,0.0557,5,0.0357
UGC04483,20.2,0.426,0.300,0.3599,NA,0.0034,8,0.2587
UGCA281,21.3,0.516,1.071,0.2055,NA,0.0022,7,0.2375
F567-2,21.9,2.240,1.632,0.1000,NA,0.0444,5,0.0578
UGC09992,23.8,0.058,0.830,0.1000,NA,0.0085,5,2.6328
D564-8,23.9,1.436,0.300,0.2814,NA,0.0165,6,0.1074
F568-3,25.7,5.230,2.284,0.1000,NA,0.0456,18,0.0341
UGC07866,26.5,1.201,0.756,0.1821,NA,0.0012,7,0.1579
UGC07559,26.8,1.137,0.300,0.2284,NA,0.0080,7,0.1705
UGC06628,27.3,0.790,0.300,0.1065,NA,0.0322,7,0.2548
DDO064,29.0,1.204,2.139,0.1539,NA,0.0195,14,0.1886
NGC4068,29.4,1.144,0.300,0.1327,NA,0.0427,6,0.2041
UGCA444,30.2,1.075,0.300,0.6276,0.5965,0.0151,36,0.2291
NGC6789,31.2,0.370,2.500,0.5929,NA,0.0322,4,0.7107
UGC05918,31.3,0.972,2.500,0.1564,NA,0.0019,8,0.2723
D512-2,31.8,1.383,0.829,0.2528,NA,0.0011,4,0.1975
IC4202,32.6,3.121,1.283,0.1000,NA,0.0750,32,0.0920
UGC08837,33.0,2.116,0.300,0.1750,NA,0.0194,8,0.1390
NGC4389,33.5,3.019,0.300,0.1000,NA,0.0774,6,0.1004
F561-1,35.4,1.811,0.300,0.1222,NA,0.0118,6,0.1869
UGC01281,39.7,1.990,1.800,0.1405,NA,0.0288,23,0.2138
UGC07232,39.7,0.523,0.300,1.3670,NA,0.0140,4,0.8140
NGC2366,43.4,0.147,0.300,0.3528,0.4504,0.0092,26,3.4603
F583-4,43.8,3.634,1.546,0.1119,NA,0.0027,12,0.1426
DDO154,44.4,2.049,0.300,0.6532,1.2885,0.0056,12,0.2599
UGC07690,46.0,0.630,0.588,0.5677,NA,0.0035,7,0.9063
UGC02023,47.1,2.293,0.300,0.2965,NA,0.0212,5,0.2612
UGC10310,48.4,2.334,1.497,0.1855,NA,0.0008,7,0.2711
NGC3741,48.6,2.579,0.300,1.1083,1.4049,0.0038,21,0.2473
DDO168,49.6,1.869,0.300,0.4710,NA,0.0236,10,0.3555
UGC05764,49.7,0.860,0.300,2.7485,5.9692,0.0255,10,0.7754
UGC07151,50.2,1.594,0.917,0.2864,NA,0.0051,11,0.4269
D631-7,51.0,2.978,0.300,0.4154,NA,0.0631,16,0.2358
UGC08550,51.2,0.934,1.220,0.5566,NA,0.0028,11,0.7579
UGC07125,52.1,3.683,0.300,0.1989,NA,0.0077,13,0.1990
IC2574,52.3,4.662,0.300,0.3707,0.3673,0.0083,34,0.1585
UGCA442,53.2,2.337,0.300,0.8426,2.3394,0.0040,8,0.3271
UGC05829,53.4,3.359,1.067,0.3585,NA,0.0016,11,0.2293
UGC05414,53.9,2.070,0.300,0.6394,NA,0.0016,6,0.3790
DDO170,56.1,3.049,0.300,0.4152,NA,0.0026,8,0.2788
UGC11557,56.2,3.555,0.300,0.1000,NA,0.1570,12,0.2399
NGC3109,57.8,2.627,0.300,1.2050,1.3718,0.0113,25,0.3434
UGC07603,59.1,1.186,0.300,2.0681,4.0310,0.0074,12,0.7953
ESO444-G084,59.3,1.333,0.300,2.7876,8.3683,0.0017,7,0.7126
DDO161,60.2,5.522,0.300,0.2372,NA,0.0050,31,0.1772
UGC00731,61.7,1.472,2.500,0.6501,1.3524,0.0105,12,0.6985
UGC00891,62.5,3.849,0.300,0.5944,NA,0.0128,5,0.2741
UGC07608,63.0,2.102,0.300,1.8536,4.9153,0.0216,8,0.5100
UGC04499,64.3,2.187,0.300,0.7617,2.0193,0.0059,9,0.5105
