# G15: 52664 lenses, 143546309 pairs
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  8.692396e-13  1.667844e-13  57271266
2.343673e-15  9.896087e-13  1.874967e-13  37268610
4.135186e-15  1.046419e-12  1.284330e-13  21191883
7.296137e-15  6.779942e-13  2.984509e-13  12048088
1.287333e-14  1.833825e-12  3.091545e-13  6839009
2.271376e-14  2.766829e-12  4.276922e-13  3881801
4.007624e-14  3.968099e-12  4.991490e-13  2203277
7.071068e-14  4.893050e-12  8.652422e-13  1249746
1.247622e-13  5.553806e-12  1.190004e-12  711888
2.201309e-13  8.141371e-12  1.399014e-12  401692
3.883998e-13  1.185801e-11  1.652631e-12  227708
6.852941e-13  1.587046e-11  3.049302e-12  126501
1.209136e-12  1.938972e-11  3.424667e-12  69455
2.133404e-12  3.755288e-11  6.282249e-12  37067
3.764185e-12  4.151838e-11  5.564488e-12  18318
