# Combined Bin 3 [10.6,10.8)
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  8.476237e-13  1.344570e-13  59241378
2.343673e-15  9.554452e-13  1.384178e-13  33890971
4.135186e-15  1.250237e-12  1.866340e-13  19342466
7.296137e-15  8.516322e-13  2.211792e-13  11031424
1.287333e-14  1.926029e-12  2.798810e-13  6270309
2.271376e-14  2.577982e-12  3.834069e-13  3563177
4.007624e-14  2.933925e-12  4.696892e-13  2024147
7.071068e-14  5.947475e-12  7.914467e-13  1152814
1.247622e-13  6.478036e-12  1.020408e-12  655576
2.201309e-13  8.280506e-12  1.229289e-12  373420
3.883998e-13  1.514249e-11  1.574399e-12  213861
6.852941e-13  1.590269e-11  1.552768e-12  121579
1.209136e-12  2.190466e-11  3.151234e-12  68419
2.133404e-12  2.475891e-11  4.689772e-12  38966
3.764185e-12  3.840726e-11  3.382954e-12  22459
