# Combined 3-field: 157338 lenses, 502867432 pairs, Bin5 excluded
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  7.889478e-13  1.026712e-13  199399258
2.343673e-15  9.703966e-13  1.164508e-13  130713056
4.135186e-15  1.087461e-12  1.130515e-13  74513763
7.296137e-15  1.052766e-12  1.613091e-13  42460723
1.287333e-14  1.869015e-12  1.277539e-13  24153539
2.271376e-14  2.695774e-12  1.853232e-13  13743027
4.007624e-14  3.540189e-12  2.761838e-13  7801561
7.071068e-14  5.386280e-12  4.565928e-13  4430205
1.247622e-13  6.322853e-12  5.170646e-13  2518943
2.201309e-13  8.641559e-12  5.360673e-13  1429220
3.883998e-13  1.216844e-11  7.385579e-13  808097
6.852941e-13  1.581601e-11  1.067118e-12  451102
1.209136e-12  2.164654e-11  1.465761e-12  247685
2.133404e-12  3.080167e-11  2.638592e-12  131753
3.764185e-12  3.615683e-11  2.769235e-12  65500
