galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0,g_obs_a0,g_bar_a0,upsilon_dyn,log_upsilon,gc_exact_a0,gc_dmond_a0,log_gc_exact,log_gc_dmond
ESO444-G084,2.32,58.0,-0.4071669443220683,-1.2536807993996428,0.3915913190956132,0.05575954234941382,7.022857480460111,0.8465138550775746,2.363139857172457,2.7500900245938693,0.3734894251452171,0.4393469107555063
ESO444-G084,3.39,63.1,-0.4986759262718568,-1.5520531402846154,0.31719335002019816,0.028050903860160726,11.307776448183967,1.0533772140127586,3.2718947164856376,3.58675149287897,0.5147993204317509,0.5547012877409018
ESO444-G084,4.44,62.7,-0.6213828350102303,-1.8264276505739487,0.23912069537859468,0.014913251756796185,16.03410840761968,1.2050448155637186,3.5962089701646787,3.8340871522057896,0.5558449199779171,0.5836619805534882
NGC2915,6.36,79.0,-0.5767378796245742,-1.701204838567004,0.2650099135193799,0.019897346429111798,13.318857087980538,1.1244669589424297,3.2662768588274487,3.529629165062702,0.5140529939845491,0.5477290793178554
NGC2915,6.69,81.4,-0.572712254546464,-1.7161029594792558,0.26747780183235587,0.019226358698956215,13.912036388194352,1.1433907049327918,3.455284861192436,3.7211609121259728,0.5384838573670139,0.5706784503863279
NGC2915,7.02,79.7,-0.6119554158946238,-1.7213100235199774,0.24436814049651767,0.018997216689393505,12.863365433577062,1.1093546076253535,2.900611134142418,3.1433966915304086,0.46248950970024705,0.4973991917307299
NGC2915,7.36,77.5,-0.6568093558819215,-1.7280189356405955,0.22038937034464268,0.018706005786745118,11.781743941339327,1.071209579758674,2.377739979277927,2.596571128793583,0.376164360064376,0.4144002238767526
NGC2915,7.7,79.9,-0.6499321131015424,-1.7523607312349447,0.22390711124223775,0.01768639290838468,12.659851695146328,1.1024286181334024,2.6121970778278714,2.834630821815361,0.4170059392892526,0.4524965050318599
NGC2915,8.03,81.5,-0.6509352743557709,-1.7674579139222084,0.2233905130985388,0.01708213249476727,13.077437092059174,1.1165226395664374,2.699407929658481,2.921375382008962,0.43126851931488563,0.46558736521066657
NGC2915,8.37,82.2,-0.6615167694702024,-1.778764795382508,0.21801342137502594,0.01664313763130852,13.099298113410194,1.1172480259123057,2.639195868878186,2.8558227993159795,0.421471622738556,0.45573125644210327
NGC2915,8.7,82.0,-0.6804264944082283,-1.7912480279745455,0.20872453663090787,0.016171562070343773,12.906887765262793,1.1108215335663172,2.4866068235929717,2.69398416815161,0.395607121078978,0.4303950391580888
