galaxy,host,log_gbar_a0,log_gobs_a0,log_gc_obs,gc_obs_a0,gc_C,gc_D,gc_E
Sagittarius dSph,MW,-2.43128,-1.39181,-0.3523399999999999,0.44428331123904136,33.35612862218081,15.50445136476458,0.10505875034953985
Ursa Major II,MW,-3.66895,-0.502828,2.663294,460.5682543652001,576.5615011856765,267.99482203653076,0.32201551740684475
Willman 1,MW,-2.73343,-0.234882,2.2636659999999997,183.51264718660474,66.88452387153988,31.088974957727768,0.4525916273423894
Coma Berenices,MW,-3.13361,-0.651271,1.831068,67.77476181695299,168.07597521902784,78.12434748905281,0.2666632224697667
Draco,MW,-2.17204,-0.517915,1.13621,13.683903410395633,18.36266198096984,8.535253081565335,0.3158982104017665
Ursa Minor,MW,-1.99966,-0.394363,1.210934,16.253017388746397,12.346834870312719,5.739002356174128,0.36962636300296875
Sculptor,MW,-1.46556,-0.615185,0.23518999999999998,1.7186601213303743,3.6095714242557917,1.6777853697866874,0.2791673057981625
Sextans (I),MW,-2.96751,-1.13848,0.6905499999999999,4.903994788684427,114.65833734993467,53.29499220795983,0.14414685279118708
Ursa Major (I),Unknown,-3.81011,-0.821534,2.167042,146.90683422786736,798.0050502258448,370.9252542525485,0.21489657848653307
Carina,MW,-2.16041,-0.851098,0.45821400000000023,2.872195516949639,17.877452788819028,8.309720244507126,0.20700869922804194
Fornax,MW,-1.34526,-0.806239,-0.2672180000000002,0.540482952100644,2.7362491509753846,1.2718514898328317,0.21909691354242436
Leo IV,MW,-3.31096,-0.477884,2.355192,226.56457198920359,252.84573934642282,117.52666242801683,0.3323911122149056
Canes Venatici II,MW,-2.78688,-0.201795,2.38329,241.7074296271225,75.64420097610822,35.160610163874246,0.47197008185125944
Canes Venatici (I),Unknown,-3.0661,-1.08016,0.90578,8.049705649900103,143.87841332423406,66.87694147880514,0.1550935207632292
Leo II,MW,-1.57506,-0.409935,0.7551899999999999,5.691018534235328,4.6446783062040256,2.1589192714537875,0.36238184890204844
Leo I,MW,-1.00303,-0.563919,-0.12480799999999981,0.7502258081100823,1.2443015434212517,0.5783708589685543,0.29795614240978
Andromeda IX,M31,-3.25474,-0.786739,1.681262,48.00229482490902,222.14453818851527,103.25626295857413,0.22457351126140382
NGC 205,M31,0.0558711,0.226092,0.3963129,2.490651133529991,0.10864870138564758,0.0505016192244335,0.8062162191867875
Andromeda I,M31,-1.97744,-0.868088,0.2412640000000003,1.7428660091289903,11.73101634285013,5.452760253059812,0.2026098448320595
Andromeda III,M31,-2.36305,-0.720895,0.92126,8.341804357342694,28.506614309003414,13.250321106932732,0.24411612428063428
Andromeda V,M31,-2.35902,-0.468094,1.422832,26.47475806057379,28.24331305176359,13.127934555921486,0.336554198451168
NGC 147,M31,-0.752416,-0.477948,-0.20348000000000002,0.6259216880167005,0.6987336195418554,0.32478233741755863,0.33236406717677136
Andromeda II,M31,-2.18369,-1.11121,-0.03873000000000011,0.914681720514317,18.86190876405762,8.767310810898243,0.14916325836885316
NGC 185,M31,-0.404055,0.00841507,0.42088514,2.63563423447664,0.31329296277822033,0.1456234792513622,0.6152019926450852
Andromeda VII,M31,-1.74245,-0.859809,0.022831999999999873,1.0539791022583422,6.82881959846757,3.1741423755269538,0.2047413114766668
LGS 3 (Local Group Suspect 3),M31,-2.30669,-0.969065,0.3685600000000003,2.3364688750261773,25.037193155614098,11.637679779580361,0.17836410054352134
Andromeda VI,M31,-1.92138,-0.689276,0.5428280000000002,3.4900206770738254,10.310402977463434,4.792436895956373,0.25410587923548006
Phoenix,Isolated,-2.35688,-0.811452,0.733976,5.419709391531199,28.10448553953092,13.063405352431385,0.2176560007825546
Cetus,Isolated,-2.2166,-0.477381,1.261838,18.27418427589015,20.346777682219546,9.457501155990725,0.3326037460105873
Leo T,MW,-1.96194,-0.420829,1.120282,13.191129988484526,11.319718836649837,5.261582726028365,0.3573978749564981
Tucana,Isolated,-2.10904,-0.147185,1.8146699999999998,65.26344578883864,15.883113516861025,7.382720094185388,0.5057356420901601
