galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0
CamB,0.16,1.99,-2.174948776393555,-1.751844251757791
CamB,0.41,4.84,-1.8116280799879538,-1.383234352388822
CamB,0.57,6.79,-1.6606702536685312,-1.3217216046911502
CamB,0.73,8.87,-1.5360105670140465,-1.2858783871795731
CamB,0.9,10.9,-1.4479244601151209,-1.2926022263636483
CamB,1.06,12.9,-1.3726613912233157,-1.3211583710059889
CamB,1.22,14.7,-1.3202601077354392,-1.378879790833788
CamB,1.47,16.8,-1.2852337178534936,-1.4532496520803895
CamB,1.79,20.1,-1.2149958626959587,-1.6202582041381208
D512-2,0.96,22.9,-0.8311352149168356,-1.4473183774179925
D512-2,1.92,33.5,-0.8017465611869024,-1.4307958807594625
D512-2,2.88,37.2,-0.8868415545524791,-1.6016450918260863
D512-2,3.83,35.9,-1.0415448233690277,-1.7251390240791422
D564-8,0.51,8.54,-1.4131893812769696,-1.7673640311495509
D564-8,1.02,15.1,-1.219181223732622,-1.7582055515986743
D564-8,1.53,19.8,-1.1598959968515798,-1.842017349080605
D564-8,2.04,21.9,-1.1972768843027053,-1.9470081498389407
D564-8,2.56,24.0,-1.2163524284456808,-2.0572943679452207
D564-8,3.07,25.0,-1.2597933046901544,-2.1590211884229826
D631-7,0.45,8.41,-1.3721554687365627,-1.1409044212328445
D631-7,0.9,17.8,-1.0219374513785802,-1.0413989014063676
D631-7,1.35,26.0,-0.8689220191104136,-1.0048088760303964
D631-7,1.8,30.9,-0.84389049281068,-1.0612962998393385
D631-7,2.25,34.7,-0.8400585150866583,-1.1466290195290962
D631-7,2.69,38.8,-0.8206237753710367,-1.2196000257097608
D631-7,3.14,42.5,-0.8086867345296351,-1.3017239467309973
D631-7,3.59,45.6,-0.8056997098064924,-1.3770393283631814
D631-7,4.04,48.8,-0.798076667662227,-1.4478121308345666
D631-7,4.49,51.8,-0.7921217680699004,-1.5209521869885418
D631-7,4.94,54.8,-0.784700778511952,-1.5886474894494453
D631-7,5.39,56.6,-0.794490849367239,-1.6567042008298232
D631-7,5.84,58.4,-0.8021220994446439,-1.7215671922051483
D631-7,6.29,58.5,-0.8328738598379514,-1.784344209110124
D631-7,6.74,57.7,-0.8748432167809002,-1.8446010838449813
D631-7,7.19,57.3,-0.9089545930051459,-1.9032840120292447
DDO064,0.1,6.29,-0.9712336556665054,-2.759716521464919
DDO064,0.3,13.9,-0.7596266007685155,-1.9024680302814045
DDO064,0.49,15.6,-0.8724818298766337,-1.5927295457285036
DDO064,0.69,18.4,-0.8777483912752256,-1.394195724147581
DDO064,0.89,22.5,-0.8135599169792311,-1.4445376724035557
DDO064,1.09,26.5,-0.7594696966240512,-1.4036231402391346
DDO064,1.29,35.3,-0.583575246080647,-1.3050330132350716
DDO064,1.48,40.5,-0.5238866155226636,-1.1901834586153441
DDO064,1.68,44.2,-0.5029996895847223,-1.1433669068600678
DDO064,1.88,46.3,-0.5115308137848169,-1.1261123911110154
DDO064,2.08,46.4,-0.553562320410043,-1.1321470424423403
DDO064,2.27,46.3,-0.5933988217142596,-1.1589031623601067
DDO064,2.37,46.4,-0.6102473314573854,-1.167225929651813
DDO064,2.98,46.9,-0.7004055252031319,-1.236842110500547
DDO154,0.49,13.8,-0.978972853783084,-1.3056692302088433
DDO154,0.99,21.6,-0.8952626388527313,-1.3559899505348254
DDO154,1.48,28.9,-0.8170009764389049,-1.433427770581485
DDO154,1.97,34.3,-0.7924129326330952,-1.475596751482723
DDO154,2.47,38.2,-0.7971051739932915,-1.5299178410927383
DDO154,2.96,42.0,-0.7933280768201809,-1.5563922820445524
DDO154,3.46,44.6,-0.8089413279255361,-1.5700583362983098
DDO154,3.95,46.3,-0.8339700601475972,-1.6198811649264147
DDO154,4.44,47.4,-0.864361233323493,-1.694619683706262
DDO154,4.94,48.2,-0.8961678190029911,-1.770394822928004
DDO154,5.43,47.4,-0.9517780927977201,-1.8462258392982618
DDO154,5.92,45.5,-1.0248338599657383,-1.918918251084962
DDO161,0.6,16.0,-0.9384462316288373,-1.2471213946482125
DDO161,0.73,16.6,-0.991641630597389,-1.2090409652908114
DDO161,0.85,18.6,-0.9589279838355034,-1.1902943094182563
DDO161,0.98,20.0,-0.9577010309215758,-1.1556992915106525
DDO161,1.07,21.4,-0.9370911775438712,-1.1361901303550113
DDO161,1.54,28.9,-0.8342599818804106,-1.071726381819002
DDO161,2.02,32.9,-0.8394945201037184,-1.0532312196508524
DDO161,2.49,35.2,-0.8716489666965176,-1.0631552094097518
DDO161,2.96,37.6,-0.8894509677606598,-1.0952361901747698
DDO161,3.43,40.6,-0.8867769994454255,-1.1371088634307214
DDO161,3.9,42.7,-0.8987438035334947,-1.1732155217932925
DDO161,4.37,45.5,-0.8929935902132403,-1.2116484810692667
DDO161,4.86,48.9,-0.8765534975720962,-1.24905985669614
DDO161,5.34,51.5,-0.8724617455032176,-1.2828958320994948
DDO161,5.81,53.0,-0.8841593397457959,-1.315834761310514
DDO161,6.28,55.0,-0.8857692113057517,-1.342251094909514
DDO161,6.75,57.6,-0.8769937525416441,-1.365787994643659
DDO161,7.22,59.7,-0.8751234818679441,-1.3833632763032833
DDO161,7.69,60.5,-0.8909505370535366,-1.3948837077346092
DDO161,8.16,61.8,-0.8982481551332727,-1.404340547340345
DDO161,8.64,62.9,-0.9077473981453988,-1.4194120799506194
DDO161,9.11,63.0,-0.929372224622878,-1.431938031757719
DDO161,9.58,64.5,-0.9307810263650521,-1.4532124412094736
DDO161,10.05,65.6,-0.9368933295622304,-1.476612772605737
DDO161,10.52,67.5,-0.9319431407127137,-1.5126755343709852
DDO161,10.99,66.8,-0.9599797140294425,-1.5514636875610481
DDO161,11.46,66.8,-0.9781666392373232,-1.5935483197797633
DDO161,11.94,66.6,-0.9985908150097914,-1.6357568552654214
DDO161,12.41,66.8,-1.0127538031046817,-1.6774243834903373
DDO161,12.9,66.3,-1.036097600046746,-1.7157307527040617
DDO161,13.37,66.1,-1.054263434847747,-1.7572787947756776
DDO168,0.41,15.0,-0.8291362851654163,-1.0270552474463082
DDO168,0.82,23.4,-0.7439170841204742,-0.8727285675680776
DDO168,1.24,29.2,-0.7311909288224417,-0.9478246551379581
DDO168,1.64,36.2,-0.6659616535384097,-1.0543112053838368
DDO168,2.06,44.0,-0.5954968139538218,-1.0853867909580481
DDO168,2.47,52.1,-0.52755645321766,-1.1435823566759682
DDO168,2.89,52.9,-0.5825214452432196,-1.2026892021661735
DDO168,3.3,54.8,-0.6094877694661924,-1.264321522655853
DDO168,3.71,55.0,-0.6571834771836014,-1.3155181925254096
DDO168,4.12,52.0,-0.7514254753205796,-1.3697871019666832
DDO170,1.87,27.7,-0.9554170149646452,-1.4587553313125734
DDO170,3.36,42.4,-0.840142510761422,-1.469421679010506
DDO170,4.86,52.5,-0.814852609007423,-1.4608575493489726
DDO170,6.35,55.6,-0.8811590886849039,-1.4740134478377067
DDO170,7.85,58.6,-0.9276093712661145,-1.5087783230258835
DDO170,9.34,59.0,-0.9971777995028482,-1.578261684102836
DDO170,10.83,60.0,-1.0468609024150763,-1.6760836166836715
DDO170,12.33,62.2,-1.0719172537711374,-1.794595511888875
ESO079-G014,0.41,33.2,-0.13904263586870613,-0.5540191713987238
ESO079-G014,0.98,50.4,-0.15489994935848758,-0.4981848697839961
ESO079-G014,1.78,53.9,-0.35577741849245986,-0.5237956063949399
ESO079-G014,2.69,67.6,-0.3383938346761793,-0.5326489750073735
ESO079-G014,3.36,81.7,-0.27043011088205643,-0.5553572200663721
ESO079-G014,4.39,102.0,-0.19379912327532944,-0.6244681345916773
ESO079-G014,5.65,116.0,-0.19166741592264494,-0.6827499227616726
ESO079-G014,6.34,132.0,-0.12947634202707617,-0.6956982044139899
ESO079-G014,6.89,137.0,-0.13331303415185553,-0.6912491001755097
ESO079-G014,8.34,154.0,-0.11465955552185576,-0.6589051129953921
ESO079-G014,10.04,163.0,-0.14589345055812813,-0.6222710101411095
ESO079-G014,11.65,170.0,-0.1739630291625332,-0.6416594200947948
ESO079-G014,13.36,175.0,-0.20826530732398119,-0.6877209244132099
