source,galaxy,log_gobs_a0,log_gbar_a0,upsilon_dyn,gc_over_a0,upsilon_d,v_flat_kms,rs_tanh_kpc,host,sigma_kms,rh_pc,g_obs_a0,g_bar_a0,g_obs_SI,g_bar_SI,M_bar_Msun,log_Mbar,log_sigma,log_rh,Mdyn_Msun,log_Mdyn,gc_obs_a0,log_gc,gc_exact_a0,log_gc_exact,gc_tautological_a0,log_gc_tauto,physical_resid_dex,gc_D_pred,D_resid,gc_Bern_pred,Bern_resid
dSph,Sagittarius dSph,-1.39181,-2.43128,10.951409031002836,0.404023,,,,MW,11.4,2595.15,0.04056859806635838,0.003704418121130433,4.868231767963006e-12,4.4453017453565196e-13,21478158.07774745,7.331997034431156,1.0569048513364727,3.4141624651862412,196014009.7182692,8.292287112815144,0.44428331123904136,-0.3523399999999999,0.40402327321276776,-0.39359361722413944,0.04936511344830301,-1.3065798605761,0.9542398605761002,15.549000711189398,-1.544042483423212,14.027207422720396,-1.4993112190241704
dSph,Ursa Major II,-0.502828,-3.66895,1465.959593717668,460.255,,,,MW,7.6,148.936,0.314175272182776,0.00021431373247200402,3.7701032661933124e-11,2.5717647896640482e-14,4092.6205022051404,3.612001475542084,0.8808135922807914,2.172999685741705,4999675.471792492,6.6989418152592455,460.5682543652001,2.663294,460.2540969525308,2.6629976630662373,51.174152863904446,1.709050662090247,0.954243337909753,268.76485858191256,0.2339215165767876,242.46062427366235,0.27865278097582946
dSph,Willman 1,-0.234882,-2.73343,315.17227022213126,182.929,,,,MW,4.2747,25.4236,0.5822613996379388,0.0018474385428247388,6.987136795655265e-11,2.2169262513896865e-13,1028.007298527118,3.0119961980238497,0.6309056411890323,1.4052370469825877,269999.69546615746,5.43136327431661,183.51264718660474,2.2636659999999997,182.93053974010152,2.2622862157739174,20.390324399879265,1.3094241352414446,0.9542418647585551,31.178303724209105,0.7698135165767879,28.126857895976194,0.8145447809758295
dSph,Coma Berenices,-0.651271,-3.13361,303.62602924052084,67.5522,,,,MW,4.6,76.7946,0.22321789072722897,0.0007351737638751796,2.6786146887267478e-11,8.822085166502155e-14,3732.531394748546,3.5720034693129943,0.6627578316815741,1.88533068262716,944411.5525139541,5.975161290946265,67.77476181695299,1.831068,67.5516051906724,1.82963567337535,7.530531437903636,0.8768256259224678,0.9542423740775321,78.34882422406403,-0.06296448342321215,70.6807613640619,-0.01823321902417052
dSph,Draco,-0.517915,-2.17204,45.094647869451,13.3809,,,,MW,9.1,221.076,0.30344850346787355,0.006729146756980053,3.641382041614483e-11,8.074976108376064e-13,283136.1356547732,5.451995300357585,0.9590413923210935,2.3445415981494553,10639943.64610693,7.0269393277476,13.683903410395633,1.13621,13.381015655057757,1.1264890788015047,1.5204356268383679,0.18196803743595513,0.9542419625640448,8.559777647924276,0.2037475165767879,7.722025279309091,0.24847878097582943
dSph,Ursa Minor,-0.394363,-1.99966,40.29925337185602,15.8506,,,,MW,9.5,181.282,0.40330815161198724,0.010007831854613155,4.839697819343847e-11,1.2009398225535786e-12,283140.159182217,5.452001471888276,0.9777236052888477,2.258354683914801,9508605.71904088,6.978116839448454,16.253017388746397,1.210934,15.85054319679458,1.2000441500445063,1.8058876075692545,0.25669071777628055,0.9542432822237195,5.755492382043672,0.4508515165767879,5.1921976828206144,0.49558278097582953
dSph,Sculptor,-0.615185,-1.46556,7.085573379036835,1.47896,,,,MW,9.2,282.686,0.24255766321115954,0.034232609026219864,2.9106919585339144e-11,4.107913083146384e-12,2355053.1085773073,6.372000705308651,0.9637878273455552,2.4513043006249884,13905765.464444617,7.143194900272056,1.7186601213303743,0.23518999999999998,1.4789518770421548,0.16995404291165805,0.1909626235348641,-0.7190516274172644,0.9542416274172644,1.6826061944586899,0.009207516576787922,1.5179281639264155,0.05393878097582952
dSph,Sextans (I),-1.13848,-2.96751,67.4574624052726,4.83137,,,,MW,7.9,695.471,0.07269758769196043,0.0010776804388994963,8.723710523035251e-12,1.2932165266793956e-13,448745.54981664364,5.652000154734769,0.8976270912904415,2.842279025338047,25225986.14553027,7.401848152874888,4.903994788684427,0.6905499999999999,4.8313870066941025,0.6840718270000596,0.5448864132948615,-0.26369402106383794,0.9542440210638379,53.448126105749736,-1.0373824834232122,48.217114730823056,-0.9926512190241704
dSph,Ursa Major (I),-0.821534,-3.81011,974.0382236630752,146.756,,,,Unknown,7.7046,318.844,0.15082245301975258,0.00015484243775624445,1.809869436237031e-11,1.8581092530749335e-14,13551.850492645472,4.131998601769303,0.8867500963572104,2.503578248855314,11000017.764555378,7.041393386525693,146.90683422786736,2.167042,146.75602467839173,2.1665959390908522,16.32298389641542,1.212799552168704,0.9542424478312959,371.99104350626976,-0.4034904834232118,335.58397890493825,-0.3587592190241704
dSph,Carina,-0.851098,-2.16041,20.385060278676896,2.73189,,,,MW,6.6,250.455,0.14089708235761278,0.0069117814924978885,1.6907649882913534e-11,8.294137790997466e-13,373251.46114163124,5.5720015165029055,0.8195439355418687,2.398729706222116,6340631.621731933,6.802132522261811,2.872195516949639,0.45821400000000023,2.7318743435272164,0.4364607194722392,0.3191332052870821,-0.49602800582626505,0.9542420058262653,8.333596781454908,-0.462618483423212,7.517980917362838,-0.41788721902417036
